file,Sij,baseline_test_MSE,ufrf_test_MSE,freq_min_GHz,freq_max_GHz,device_type,family,leaderboard,improvement_%
LQP15MN1N3W02_series.s2p,S11,0.300989314219975,0.236264858495267,0.05,20.0,passive,LQP,results/batch_s11_interleave_sparameters (3)/leaderboard.csv,21.503904845407497
LQP15MN1N4W02_series.s2p,S11,0.2990566854965273,0.2360682567537292,0.05,20.0,passive,LQP,results/batch_s11_interleave_sparameters (3)/leaderboard.csv,21.062371047889364
LQP15MN1N5B02_series.s2p,S11,0.2982662242575937,0.2356175075820284,0.05,20.0,passive,LQP,results/batch_s11_interleave_sparameters (3)/leaderboard.csv,21.004294680533306
LQP15MN1N5W02_series.s2p,S11,0.2982662242575937,0.2356175075820284,0.05,20.0,passive,LQP,results/batch_s11_interleave_sparameters (3)/leaderboard.csv,21.004294680533306
LQP15MN1N6B02_series.s2p,S11,0.2980989950086491,0.2347361014962031,0.05,20.0,passive,LQP,results/batch_s11_interleave_sparameters (3)/leaderboard.csv,21.255654857409894
LQP15MN1N6W02_series.s2p,S11,0.2980989950086491,0.2347361014962031,0.05,20.0,passive,LQP,results/batch_s11_interleave_sparameters (3)/leaderboard.csv,21.255654857409894
LQP15MN1N7W02_series.s2p,S11,0.2969129853296188,0.2350662505837426,0.05,20.0,passive,LQP,results/batch_s11_interleave_sparameters (3)/leaderboard.csv,20.829919135135462
LQP15MN1N8B02_series.s2p,S11,0.2968832682587919,0.2356075022387529,0.05,20.0,passive,LQP,results/batch_s11_interleave_sparameters (3)/leaderboard.csv,20.639683192461078
LQP15MN1N8W02_series.s2p,S11,0.2968832682587919,0.2356075022387529,0.05,20.0,passive,LQP,results/batch_s11_interleave_sparameters (3)/leaderboard.csv,20.639683192461078
LQP15MN1N9W02_series.s2p,S11,0.2981038953373021,0.2364869186664861,0.05,20.0,passive,LQP,results/batch_s11_interleave_sparameters (3)/leaderboard.csv,20.669631505853648
LQP15MN22NG02_series.s2p,S11,0.4202871741517244,0.3050716932957845,0.05,20.0,passive,LQP,results/batch_s11_interleave_sparameters (3)/leaderboard.csv,27.41351341222393
LQP15MN27NG02_series.s2p,S11,0.4383783056426873,0.3115723032506264,0.05,20.0,passive,LQP,results/batch_s11_interleave_sparameters (3)/leaderboard.csv,28.92615824274337
LQP15MN2N0B02_series.s2p,S11,0.2984363400538135,0.2377899677769656,0.05,20.0,passive,LQP,results/batch_s11_interleave_sparameters (3)/leaderboard.csv,20.321376500567002
LQP15MN2N0W02_series.s2p,S11,0.2984363400538135,0.2377899677769656,0.05,20.0,passive,LQP,results/batch_s11_interleave_sparameters (3)/leaderboard.csv,20.321376500567002
LQP15MN2N1W02_series.s2p,S11,0.2994514530483517,0.2385824231823404,0.05,20.0,passive,LQP,results/batch_s11_interleave_sparameters (3)/leaderboard.csv,20.32684404980426
LQP15MN2N2B02_series.s2p,S11,0.3001722551373023,0.2397384212454099,0.05,20.0,passive,LQP,results/batch_s11_interleave_sparameters (3)/leaderboard.csv,20.133051225620186
LQP15MN2N2W02_series.s2p,S11,0.3001722551373023,0.2397384212454099,0.05,20.0,passive,LQP,results/batch_s11_interleave_sparameters (3)/leaderboard.csv,20.133051225620186
LQP15MN2N3W02_series.s2p,S11,0.2998464571608457,0.2396491892510215,0.05,20.0,passive,LQP,results/batch_s11_interleave_sparameters (3)/leaderboard.csv,20.076031072640873
LQP15MN2N4B02_series.s2p,S11,0.3012241947087884,0.2415164225296537,0.05,20.0,passive,LQP,results/batch_s11_interleave_sparameters (3)/leaderboard.csv,19.821705303871035
LQP15MN2N4W02_series.s2p,S11,0.3012241947087884,0.2415164225296537,0.05,20.0,passive,LQP,results/batch_s11_interleave_sparameters (3)/leaderboard.csv,19.821705303871035
LQP15MN2N5W02_series.s2p,S11,0.3166394031363628,0.2583154349125276,0.05,20.0,passive,LQP,results/batch_s11_interleave_sparameters (3)/leaderboard.csv,18.419681077631893
LQP15MN2N6W02_series.s2p,S11,0.3020258018516946,0.242693730392789,0.05,20.0,passive,LQP,results/batch_s11_interleave_sparameters (3)/leaderboard.csv,19.644702901257343
LQP15MN2N7B02_series.s2p,S11,0.3013553899294725,0.2421972067334293,0.05,20.0,passive,LQP,results/batch_s11_interleave_sparameters (3)/leaderboard.csv,19.630703539063376
LQP15MN2N7W02_series.s2p,S11,0.3013553899294725,0.2421972067334293,0.05,20.0,passive,LQP,results/batch_s11_interleave_sparameters (3)/leaderboard.csv,19.630703539063376
LQP15MN2N8W02_series.s2p,S11,0.3022912312936762,0.2432301639529276,0.05,20.0,passive,LQP,results/batch_s11_interleave_sparameters (3)/leaderboard.csv,19.53780368950587
LQP15MN2N9W02_series.s2p,S11,0.3023637884902425,0.2435796793743289,0.05,20.0,passive,LQP,results/batch_s11_interleave_sparameters (3)/leaderboard.csv,19.44151758695489
