composite_id,left_id,right_id,u1,u2,u12,delta,cosine,oppose_overlap
C_K_4_1_mirror__K_8_4,K_4_1_mirror,K_8_4,65,281,329,-17,0.20787917951094292,17
C_K_4_1_mirror__K_8_4_mirror,K_4_1_mirror,K_8_4_mirror,65,191,224,-32,0.08850170702575859,32
C_K_4_1_mirror__K_8_5,K_4_1_mirror,K_8_5,65,155,212,-8,0.651046866375141,8
C_K_4_1_mirror__K_8_5_mirror,K_4_1_mirror,K_8_5_mirror,65,190,219,-36,-0.08263499515704863,36
C_K_4_1_mirror__K_8_6,K_4_1_mirror,K_8_6,65,159,216,-8,0.6619618726955006,8
C_K_4_1_mirror__K_8_6_mirror,K_4_1_mirror,K_8_6_mirror,65,204,233,-36,-0.0759247879438849,36
C_K_4_1_mirror__K_8_7,K_4_1_mirror,K_8_7,65,65,121,-9,0.31302843917447537,9
C_K_4_1_mirror__K_8_7_mirror,K_4_1_mirror,K_8_7_mirror,65,103,150,-18,0.11353076959711442,18
C_K_4_1_mirror__K_8_8,K_4_1_mirror,K_8_8,65,82,134,-13,0.20492010776169076,13
C_K_4_1_mirror__K_8_8_mirror,K_4_1_mirror,K_8_8_mirror,65,140,192,-13,0.14223956404975752,13
C_K_4_1_mirror__K_8_9,K_4_1_mirror,K_8_9,65,273,322,-16,0.22673977392142614,16
C_K_4_1_mirror__K_8_9_mirror,K_4_1_mirror,K_8_9_mirror,65,186,216,-35,0.057249336943874546,35
C_K_4_1_mirror__K_8_10,K_4_1_mirror,K_8_10,65,128,190,-3,0.6546020259450209,3
C_K_4_1_mirror__K_8_10_mirror,K_4_1_mirror,K_8_10_mirror,65,127,184,-8,0.6798078676878545,8
C_K_4_1_mirror__K_8_11,K_4_1_mirror,K_8_11,65,112,169,-8,0.69269602032924,8
